行政區,里別,鄰別,基本學區
新市區,港墘,全里,新市國中
新市區,新市,全里,新市國中
新市區,新和,全里,新市國中
新市區,潭頂,全里,新市國中
新市區,豐華,全里,新市國中、南科實中共同學區
安定區,中沙,全里,安定國中
安定區,中榮,全里,安定國中
安定區,文科,全里,安定國中
安定區,安加,全里,安定國中
安定區,安定,全里,安定國中
安定區,海寮,全里,安定國中
安定區,港口,全里,安定國中
安定區,港尾,全里,安定國中
安定區,港南,全里,安定國中
安定區,新吉,全里,安定國中
安定區,嘉同,全里,安定國中
安定區,蘇林,全里,安定國中
安定區,蘇厝,全里,安定國中
山上區,山上,全里,山上國中
山上區,平陽,全里,山上國中
山上區,玉峯,全里,山上國中
山上區,明和,全里,山上國中
山上區,南洲,全里,山上國中
山上區,新莊,全里,山上國中
山上區,豐德,全里,山上國中
玉井區,三和,全里,玉井國中
玉井區,三埔,全里,玉井國中
玉井區,中正,全里,玉井國中
玉井區,玉井,全里,玉井國中
玉井區,玉田,全里,玉井國中
玉井區,竹圍,全里,玉井國中
玉井區,沙田,全里,玉井國中
玉井區,望明,全里,玉井國中
玉井區,層林,全里,玉井國中
玉井區,豐里,全里,玉井國中
楠西區,東勢,全里,楠西國中
楠西區,密枝,全里,楠西國中
楠西區,鹿田,全里,楠西國中
楠西區,楠西,全里,楠西國中
楠西區,照興,全里,楠西國中
楠西區,龜丹,全里,楠西國中
楠西區,灣丘,全里,楠西國中
南化區,小崙,全里,南化國中
南化區,中坑,全里,南化國中
南化區,北平,全里,南化國中
南化區,北寮,全里,南化國中
南化區,玉山,全里,南化國中
南化區,西埔,全里,南化國中
南化區,東和,全里,南化國中
南化區,南化,全里,南化國中
南化區,關山,全里,南化國中
左鎮區,二寮,全里,左鎮國中
左鎮區,中正,全里,左鎮國中
左鎮區,內庄,全里,左鎮國中
左鎮區,左鎮,全里,左鎮國中
左鎮區,光和,全里,左鎮國中
左鎮區,岡林,全里,左鎮國中
左鎮區,草山,全里,左鎮國中
左鎮區,睦光,全里,左鎮國中
左鎮區,榮和,全里,左鎮國中
仁德區,上崙,全里,仁德國中
仁德區,仁義,全里,仁德國中
仁德區,仁德,1 至 16 鄰,仁德國中
仁德區,後壁,全里,仁德國中
仁德區,新田,全里,仁德國中
仁德區,文賢,全里,仁德國中、仁德文賢國中共同學區
仁德區,二行,全里,仁德文賢國中
仁德區,大甲,全里,仁德文賢國中
仁德區,中洲,全里,仁德文賢國中
仁德區,保安,全里,仁德文賢國中
歸仁區,七甲,全里,歸仁國中
歸仁區,八甲,全里,歸仁國中
歸仁區,文化,全里,歸仁國中
歸仁區,南保,全里,歸仁國中
歸仁區,南興,全里,歸仁國中
歸仁區,後市,全里,歸仁國中
歸仁區,看西,全里,歸仁國中
歸仁區,看東,全里,歸仁國中
歸仁區,許厝,全里,歸仁國中
歸仁區,辜厝,全里,歸仁國中
歸仁區,新厝,全里,歸仁國中
歸仁區,媽廟,全里,歸仁國中
歸仁區,歸仁,全里,歸仁國中
歸仁區,大廟,全里,歸仁國中、大灣高中國中部共同學區
歸仁區,西埔,全里,歸仁國中、大灣高中國中部共同學區
歸仁區,六甲,全里,歸仁國中、沙崙高中共同學區
歸仁區,崙頂,全里,歸仁國中、沙崙高中共同學區
歸仁區,歸南,全里,歸仁國中、沙崙高中共同學區
歸仁區,大潭,全里,沙崙高中國中部
歸仁區,沙崙,全里,沙崙高中國中部
歸仁區,武東,全里,沙崙高中國中部
關廟區,下湖,全里,關廟國中
關廟區,山西,全里,關廟國中
關廟區,五甲,全里,關廟國中
關廟區,北勢,全里,關廟國中
關廟區,布袋,全里,關廟國中
關廟區,東勢,全里,關廟國中
關廟區,松腳,全里,關廟國中
關廟區,花園,1 至 12、17 至 25 鄰,關廟國中
關廟區,龜洞,全里,關廟國中
關廟區,香洋,全里,關廟國中
關廟區,埤頭,全里,關廟國中
關廟區,深坑,全里,關廟國中
關廟區,新埔,全里,關廟國中
關廟區,關廟,全里,關廟國中
關廟區,新光,全里,關廟國中、龍崎國中共同學區
關廟區,花園,13 至 16 鄰,關廟國中、龍崎國中共同學區
龍崎區,土崎,全里,龍崎國中
龍崎區,大坪,全里,龍崎國中
龍崎區,中坑,全里,龍崎國中
龍崎區,牛埔,全里,龍崎國中
龍崎區,石曹,全里,龍崎國中
龍崎區,崎頂,全里,龍崎國中
龍崎區,楠坑,全里,龍崎國中
龍崎區,龍船,全里,龍崎國中
永康區,王行,全里,永康國中
永康區,正強,全里,永康國中
永康區,永明,全里,永康國中
永康區,永康,全里,永康國中
永康區,埔園,全里,永康國中
永康區,烏竹,全里,永康國中
永康區,網寮,全里,永康國中
永康區,龍埔,全里,永康國中
永康區,龍潭,全里,永康國中
永康區,二王,全里,永康國中、永仁高中、大橋國中共同學區
永康區,三合,全里,永康國中、永仁高中、大橋國中共同學區
永康區,五王,全里,永康國中、永仁高中、大橋國中共同學區
永康區,六合,全里,永康國中、永仁高中、大橋國中共同學區
永康區,尚頂,1 至 3 鄰,永康國中、大橋國中共同學區
永康區,東橋,全里,永康國中、大橋國中共同學區
永康區,新樹,3 鄰,永康國中、大灣高中共同學區
永康區,復華,全里,永康國中、永仁高中共同學區
永康區,三民,2 至 11 鄰,永康國中、鹽行國中共同學區
永康區,塩行,全里,永康國中、鹽行國中共同學區
永康區,塩洲,全里,永康國中、鹽行國中共同學區
永康區,塩興,全里,永康國中、鹽行國中共同學區
永康區,蔦松,全里,永康國中、鹽行國中共同學區
永康區,大灣,全里,大灣高中國中部
永康區,北興,全里,大灣高中國中部
永康區,北灣,全里,大灣高中國中部
永康區,西勢,全里,大灣高中國中部
永康區,西灣,全里,大灣高中國中部
永康區,東灣,全里,大灣高中國中部
永康區,南灣,全里,大灣高中國中部
永康區,崑山,全里,大灣高中國中部
永康區,新樹,1 至 2 鄰、4 至 15 鄰,大灣高中國中部
永康區,中華,全里,永仁高中國中部
永康區,中興,全里,永仁高中國中部
永康區,光復,全里,永仁高中國中部
永康區,成功,全里,永仁高中國中部
永康區,建國,全里,永仁高中國中部
永康區,神洲,全里,永仁高中國中部
永康區,勝利,全里,永仁高中國中部
永康區,復國,全里,永仁高中國中部
永康區,復興,全里,永仁高中國中部
永康區,大橋,全里,大橋國中
永康區,甲頂,全里,大橋國中
永康區,安康,全里,大橋國中
永康區,西橋,全里,大橋國中
永康區,尚頂,4 至 32 鄰,大橋國中
